句子,标签
不排除是包皮长引起包皮垢滋生细菌刺激到龟头黏膜引起的,O O O O B_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom O O O O O O O B_part I_part I_part I_part O O O
这样的情况有多长时间了？还有别的症状没有？有点滑精,O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom
现在看起来不明显，就是包皮下阴茎部分，,O O O O O O O O O O O B_part I_part I_part I_part I_part O O O
我姓李怎么称呼呢？是打算今天到院进行检查手术吗？还是怎么考虑的呢？,O O B_name O O O O O O O O O B_datetime I_datetime O O O O O O O O O O O O O O O O O O O
大概是前列腺炎,O O O B_symptom I_symptom I_symptom I_symptom
不会是上火吗,O O O B_symptom I_symptom O
为什么不啪啪啪的时候可以硬,O O O O B_physiology I_physiology I_physiology O O O O O B_physiology
坐车过去，我朋友说你们在中山北路那里,O O O O O O O O O O O O B_address I_address I_address I_address O O
"您好,我是桂林男健医院李医生，有什么可以帮您的？咨询的患者较多，为了方便您咨询可以先加我QQ或微信为您一对一解答手滛过多有哪些危害",O O O O O O O O O O O B_doctor I_doctor I_doctor O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_cause I_cause I_cause I_cause O O O O O
您没有做过检查和治疗吗？,O O O O O O O O O O O O
你好龟头敏感怎样降低敏感度,O O B_symptom I_symptom I_symptom I_symptom O O O O O O O
医生可以帮忙申请吗嗯，可以的，你提示下你的挂号姓名和联系方式可以接受挂号短信的就可以登记到系统会给你发送挂号信息来院核对就可以享受援助了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
什么时候去合适？,O O O O O O O O
试纸的话只有60%的准确性，如果，你不想要的话就需要到医院确诊在宫内受孕才能做下一步的打算呢,B_tool I_tool O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_physiology I_physiology I_physiology I_physiology O O O O O O O O O O
怀疑膀胱炎服环丙沙星,O O B_symptom I_symptom I_symptom O B_medicine I_medicine I_medicine I_medicine
那你这个情况可以去找下神医因为都没有检查就能开药的那就是神医了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
我知道你们那我刚才给你说的,O O O O O O O O O O O O O
费用也一样,O O O O O
今年多大,O O O O
医院检查前列腺肥大,O O B_check I_check I_check I_check I_check I_check I_check
明确病因是很好治疗的要是费用太大我现在还负担不起,O O O O O O O O O O O O O O O O O O O O O O O O
就睡着了,O O O O
你是大概什么时候有时间呢，我这边为你查询看一下名额还有没有那怎么过预约法？？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
钓鱼台做拾号线怎么去地址发给我,B_address I_address I_address O O O O O O O O O O O O
咱们是检查了么,O O O O O O O
我是一直在喝中药,O O O O O O O O
没有阴囊是否有潮湿瘙痒疼痛的症状呢？,O O B_part I_part O O O B_symptom I_symptom B_symptom I_symptom B_symptom I_symptom O O O O O
恩，那你知道你女朋友有没有妇科炎症呢？或者是近期是不是经期的范围内呢？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
怎么不回,O O O O
一点是胃消化不好，也有可能是吹空调，你现在多喝喝温水或者喝点热粥,O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O B_cause I_cause I_cause O O O O O O O O O O O O O O O
我只想吃药,O O O O O
3到4次左右,B_frequency I_frequency I_frequency I_frequency O O
及时治疗的话还是非常容易恢复的目前是打算改善这个情况吗,O O O O O O O O O O O O O O O O O O O O O O O O O O O
嗯我在那附近上班不忙了去,O O O O O O O O O O O O
睾丸痛怎么回事？,B_symptom I_symptom I_symptom O O O O O
心理有点害怕,O O O O B_emotion I_emotion
我儿子四岁了最近尿白色的尿还拉白色的大便,O O O B_age I_age O O O B_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
运动率,O O O
有照片，您看么,O O O O O O O
我就是另一方家长，嗯，这个我没看到孩子的情况，也不好帮您判断的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
怎么直接科学,O O O O O O
明显异常是啥,O O O O O O
要不这样您方便电话沟通吗？那还是要到你们医院才可以蛮？,O O O O O O O O O O O O O O O O O O O O O O O O O O O
你好，我老公龟头附近起红色颗粒，而且涨水是什么病毕竟打字描述局限通过你的描述不排除是病毒感染疱疹。或者菌群感染引起的龟头炎。,O O O O O O B_part I_part O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom O O O O O O O O O O B_symptom I_symptom I_symptom O
14岁的男孩乳头下面长瘤，要不要吃药？,B_age I_age I_age O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O
那你们现在性生活是多久一次啊？,O O O O O B_physiology I_physiology I_physiology O O O O O O O
以前么有过这种情况,O O O O O O O O O
居提的做几路,O O O O O O
你给我留个号吧，我明天大概下午2点到可以吗,O O O O O O O O O B_datetime I_datetime O O B_datetime I_datetime I_datetime I_datetime O O O O
一直包皮过长，不好意思去医院，发现了长了一些，大概有一两个月了吧。,O O B_symptom I_symptom I_symptom I_symptom O B_emotion I_emotion I_emotion I_emotion O O O O O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O
58元就可以的,B_price I_price I_price O O O O
不总有，偶尔一次,O O O O B_frequency I_frequency I_frequency I_frequency
术后肯定得疼些天吧,O O O O O B_symptom O O O
我得阴茎根部长了一根硬筋,O O B_part I_part O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
您是绵阳哪里的呢我是三台人,O O B_address I_address O O O O O O B_address I_address O
实惠点你就明说告诉不告诉吧,O O O O O O O O O O O O O
就是医好了，以后老了是不是也不行啊这个年龄段比较关键如果现在控制不好对于以后肯定是有影响的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
瘙痒或者疼痛的情况。后期会逐渐出现起疙瘩,B_symptom I_symptom O O B_symptom I_symptom O O O O O O O O O O O O B_symptom I_symptom
不预约我这是想先了解下价位,O O O O O O O O O O O O O
咱们目前是打算解决下这个问题吗？有什么可以解决的？？,O O O O O O O O O O O O O O O O O O O O O O O O O O
环了有多久了呢有二十多天吧,B_tool O O O O O O O B_datetime I_datetime I_datetime I_datetime O
还想更长久怎么办,O O O O O O O O
2月份做了，现在想检查一下就到年底,B_datetime I_datetime I_datetime O O O O O O O O O O O O B_datetime I_datetime
2-3分钟就完事了,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O
在哪个医院做的呢,O O O O O O O O
是因为点什么呢,O O O O O O O
嗯，明天我院刚好有请外院专家教授过来会诊，你刚好可以看一下我姓陈，怎么称呼你呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
30出现多久不知道,B_age I_age O O O O O O O
地铁也可以,O O O O O
阳痿的早期症状是什么,B_symptom I_symptom O O O O O O O O
17岁有前列腺？当然有前列腺了，前列腺是人体性腺器官的一种的,B_age I_age I_age O B_part I_part I_part O O O O B_part I_part I_part O O B_part I_part I_part O O O O O O O O O O O
你这样的情况出现的多久了？,O O O O O O O O O O O O O
孩子现在多大年龄了呢？五岁多,O O O O O O O O O O O O O O
怎么称呼你，我姓姜,O O O O O O O O B_name
性病查什么,O O O O O
好的，就检查这三项是吗？,O O O O O O O O O O O O
如果是好治吗,O O O O O O
包皮龟头炎吃消炎药可以不？,B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O
晚上睡觉遗精怎么回事？,B_datetime I_datetime O O B_physiology I_physiology O O O O O
好嘛您说下微信，我添加下您,O O O O O O O O O O O O O
给你指导有针对性。我刚刚看见的，,O O O O O O O O O O O O O O O O
好滴，你们治疗方式也是用青霉素吗,O O O O O O O O O O O O B_medicine I_medicine I_medicine O
早上起来尿就不痛,B_datetime I_datetime O O B_physiology O O O
有，踢完球，劲没用对，感觉大腿根部,O O O O O O O O O O O O O B_part I_part O O
还有就是有的做个包皮手术能花5000多，那是咋回事在哪个医院做的呢？,O O O O O O O O B_surgery I_surgery I_surgery I_surgery O O B_price I_price I_price I_price I_price O O O O O O O O O O O O O O O
割包皮多大年龄合适呢？,B_surgery I_surgery I_surgery O O O O O O O O
那你这个就是典型的射精障碍,O O O O O O O O O B_symptom I_symptom I_symptom I_symptom
长息肉会致命吗,B_symptom I_symptom I_symptom O O O O
有过生育的话盆底肌松弛都会引起的,O O B_physiology I_physiology O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O
那平时用什么药能抑止哪,O O O O O O O O O O O
有氧没异味,B_symptom I_symptom O O O
没看过对的恩，这样的话考虑阴茎龟头神经敏感度过高，在性生活途中受到刺激后由于敏感神经的因素导致早射精的情况。,O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O B_part I_part I_part I_part O O O O O B_symptom I_symptom I_symptom O O O O
或者是病毒菌群感染引起的你先不要着急,O O O O O O O O O O O O O O O O O O
在东门进是吗,O O O O O O
40多岁，腰酸背痛，我打飞机。有点久。还医得不,B_age I_age I_age I_age O B_symptom I_symptom I_symptom I_symptom O O B_cause I_cause I_cause O O O O O O O O O
那时候我知道病毒还没扩散,O O O O O O O O O O O O
昨天的检查结果还有吗？这样，您微信或者QQ多少呢，我加您，你给我发个检查结果，我具体看下，在给您详细的分析指导,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
这个是咱们预约之后的特价包皮手术费用，您目前是打算做这个手术吗？对？,O O O O O O O O O O O O B_surgery I_surgery I_surgery I_surgery O O O O O O O O O O O O O O O O O O
请问做爱太多肾疼，是阴虚还是阳虚,O O B_physiology I_physiology O O B_symptom I_symptom O O B_symptom I_symptom O O B_symptom I_symptom
还是遇到外伤外力？,O O O O B_cause I_cause B_cause I_cause O
在一起做几次时间就提上去了,O O O O O O O O O O O O O
女朋友来大姨妈的时候做了四次，现在尿尿时有一点疼，该吃点什么药呢。,O O O O B_physiology I_physiology I_physiology O O O O O B_frequency I_frequency O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O
女朋友不能算吧,O O O O O O O
要不添加微信吧,O O O O O O O
你做超的结果有吗发我帮你看看你好还在关注对话吗？,O O B_check O O O O O O O O O O O O O O O O O O O O O
您好，大学期间过度手淫，造成弯区比较严重，有发治疗吗,O O O O O O O O O B_cause I_cause O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
您去医院做过相关的检查吗4号,O O O O O O O O O O O O B_datetime I_datetime
电话，我交代下门诊就行,O O O O O O O O O O O
坐几路公交呀,O O O O O O
过度手淫导致的早泄能治吗,B_cause I_cause I_cause I_cause O O O B_symptom I_symptom O O O
我还没说完问题呢，你就清楚了，,O O O O O O O O O O O O O O O
请问有什么好的治疗方法吗,O O O O O O O O O O O O
恩，您微信多少呢，我加您13568428666,O O O O O O O O O O O O O O O O O O O O O O O
你好做前列腺微创手术有啥不利的吗,O O O B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O O O O O O
谢谢！明天我电话和您联系，晚安！,O O O B_datetime I_datetime O O O O O O O O O O O
那软的时候1.5厘米，这正常吗,O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O
24...,B_age I_age O O O
一捏一下就窝下去了你明天过来找李主任看一下,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O B_datetime I_datetime O O O B_doctor I_doctor I_doctor O O O
在症状出现之前是否有过不洁性生活，或去过公共场所呢，比方说宾馆，酒店，洗浴等地方？,O O O O O O O O O O O B_cause I_cause I_cause I_cause I_cause O O B_cause I_cause I_cause I_cause I_cause I_cause O O O O O O O O O O O O O O O O O
一个月来两次月经是怎么回事，,B_datetime I_datetime I_datetime B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
你好请问我鸡鸡上涨了很多的小痘痘是怎么回事呢,O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
你父母的电话是多少呢，我给你父母说下你的情况有检查，肾气不足，心火上炎，肾亏，肾阳虚，我只是轻微,O O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom O B_symptom I_symptom I_symptom O O O O O O
现在勃起我不好,O O B_physiology I_physiology O O O
这方面病情不是疑难杂症的，在咱医院也比较常见的，检查清楚了，都可以治好的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
早上尿多没几天，但是这段时间老起夜以前不起夜你说得那些情况都没有,O O B_symptom I_symptom O O O O O O O O O O B_symptom I_symptom I_symptom O O O O O O O O O O O O O O O
但是有没有小红点我没注意,O O O O O B_symptom I_symptom I_symptom O O O O
坐地铁怎么去,O O O O O O
真的能增粗吗,O O O O O O
肾虚是有那些状况,B_symptom I_symptom O O O O O O
好的，我加你你通过一下,O O O O O O O O O O O
我刚看到了问问什么意思是否有尿频尿急尿痛尿滴白的症状呢？,O O O O O O O O O O O O O O B_symptom I_symptom B_symptom I_symptom B_symptom I_symptom B_symptom I_symptom I_symptom O O O O O
带多少,O O O
是有哪方面的问题需要了解的就是尿血！没有其他症状目前,O O O O O O O O O O O O O O O B_symptom I_symptom O O O O O O O O O
以前有最近这两年一个月1次差不多吧,O O O O O B_datetime I_datetime I_datetime B_frequency I_frequency I_frequency I_frequency I_frequency O O O O
今年多大年纪？？,O O O O O O O O
成年人正常在11-16厘米，你这也属于正常范围内,O O O O O O O O O O O O O O O O O O O O O O O O
我加你QQ了那种自然无疤,O O O O O O O O O O O O
半个多月能查出来吗？,B_datetime I_datetime I_datetime I_datetime O O O O O O
我自從長陰毛開始，我就天天打手槍2次,O O O O B_part I_part O O O O O B_frequency I_frequency I_frequency I_frequency I_frequency I_frequency I_frequency
我很讨厌医院,O O O O O O
阴茎里边有白的是什么啊,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
上午大概九点以前，我把二院的压金退了，从二院去怎么做车,B_datetime I_datetime O O B_datetime I_datetime O O O O O O O O O O O O O O O O O O O O O
是有些敏感,O O O O O
一会梅毒的,O O B_symptom I_symptom O
有不明液体流出我先咨询下,O B_symptom I_symptom I_symptom I_symptom O O O O O O O
请问你确定是早泄了吗？手术后多久可以见效,O O O O O O B_symptom I_symptom O O O O O O O O O O O O
您多大年龄？,O O O O O O
平时你勃起硬度不好性生活肯定也不好吧，,O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom B_physiology I_physiology I_physiology O O B_symptom I_symptom I_symptom O O
问题没出现在你身上，，你说的只是一个表面的东西,O O O O O O O O O O O O O O O O O O O O O O O
比方前列腺睾丸附睾,O O B_part I_part I_part B_part I_part B_part I_part
我是生殖器上有疱疹发痒,O O B_part I_part I_part O O B_symptom I_symptom I_symptom I_symptom
恩，现在疼不疼，痒不痒？,O O O O O O O O O O O O
好的，我知道怎么走,O O O O O O O O O
说明你引起时间短和背神经关系不大。,O O O O O B_symptom I_symptom I_symptom O B_part I_part I_part O O O O O
没有去过，这个地方很尴尬,O O O O O O O O O O B_emotion I_emotion
这一般是药物治疗为主,O O O O O O O O O O
昨天开始的以前也有过后来好啦。,B_datetime I_datetime O O O O O O O O O O O O O
没有。现在有改变症状的办法,O O O O O O O O O O O O O
是男性恩，你多大了，是在性生活之后出现的症状吗,O O O O O O O O O O O O O O O O O O O O O O O
周五上午吧，9点半的样子，我怕堵车，包正平嗯好的，那先不要关闭窗口，我这边帮你预约安排，收到短信后跟我说下预约号，我帮你激活就可以了。,B_datetime I_datetime I_datetime I_datetime O O B_datetime I_datetime I_datetime O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
我开车来可以开车走不？,O O O O O O O O O O O
用多长时间见效,O O O O O O O
12岁以上都是可以的，是您自己要做包皮手术吗,B_age I_age I_age O O O O O O O O O O O O O O B_surgery I_surgery I_surgery I_surgery O
前一阵子很少,O O O O O O
是需要做前列腺分泌物及超方面检查的好像有点尿急,O O O O B_check I_check I_check I_check I_check I_check O I_check O O O O O O O O O B_symptom I_symptom
我昨天连续射精3次，是不是等几天在去比较好，毕竟昨天射精3次，也比较多，,O B_datetime I_datetime O O B_physiology I_physiology B_frequency I_frequency O O O O B_datetime I_datetime I_datetime O O O O O O O O B_frequency I_frequency I_frequency I_frequency I_frequency I_frequency O O O O O O
尿刺痛情况呢？没有,B_symptom I_symptom I_symptom O O O O O O
嗯，前列腺器官是男性性腺器官跟免疫器官，出现这症状也是比较典型的表现。,O O B_part I_part I_part O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
我的生殖器官感染，咨询用药问题,O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O
嗯,O
公交公司那边,O O O O O O
体检检查的？,O O O O O O
男性尿频在临床上常见于尿路感染及前列腺方面疾病之前没有过这种情况吗,O O B_symptom I_symptom O O O O O O O B_symptom I_symptom I_symptom I_symptom O B_part I_part I_part O O O O O O O O O O O O O O
请问应该点么治疗,O O O O O O O O
能看出来凸起一块,O O O O B_symptom I_symptom I_symptom I_symptom
好像是红色的,O O O O O O
17600163123，我姓戴，您可以存上我电话，明天我也是在医院的，熟悉您的情况，这样过来能帮帮您,O O O O O O O O O O O O O O B_name O O O O O O O O O O B_datetime I_datetime O O O O O O O O O O O O O O O O O O O O O O O
这些症状都有吗,O O O O O O O
你好：他们说是淋病，请问是不是？买什么约可以治疗？淋病是性病的一种,O O O O O O O B_symptom I_symptom O O O O O O O O O O O O O O O O B_symptom I_symptom O O O O O O
是本该1号来的月经，到现在都没有来是吧，是的,O O O B_datetime I_datetime O O B_physiology I_physiology O O O O O O O O O O O O O
我去诊所人家说是感染的,O O O O O O O O O O O
先生目前的情况是需要到医院进行检查确诊一下病因，然后进行针对性调理好，恢复正常的同房时间，我姓李怎么称呼呢？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
你先说几样？药,O O O O O O O
我这种情况是不是肾虚ya,O O O O O O O O B_symptom I_symptom O O
手术费用是有差异的。,O O O O O O O O O O
多为睾丸肿瘤,O O B_symptom I_symptom I_symptom I_symptom
只有勃起充血才能看到么一点点如果不严重考虑是有轻微感染,O O B_physiology I_physiology O O O O O O O O O O O O O O O O O O O O O O O
你们家的显微的多钱啊,O O O O B_surgery I_surgery O O O O
是尿路有疼痛,O B_symptom I_symptom I_symptom I_symptom I_symptom
你今年多大年龄了,O O O O O O O O
早期症状也是尿频尿不尽尿等待这些情况。,O O O O O O B_symptom I_symptom B_symptom I_symptom I_symptom B_symptom I_symptom I_symptom O O O O O
各项检查费用，手术费，所有费用加起来，大概多少？,O O O O O O O O O O O O O O O O O O O O O O O O
您多大年龄,O O O O O
姜医生您好，，我想问一下精索静脉曲张必须手术么？,B_doctor I_doctor I_doctor O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
我给您回过去也可以,O O O O O O O O O
你是石家庄哪里的,O O B_address I_address I_address O O O
我资阳医疗卡～你们可以用！我就去没有,O O O O O O O O O O O O O O O O O O
那这个情况有检查过了吗比如精液常规或精液分析您是什么时候来咱们医院的也是因为这个情况吗？,O O O O O O O O O O O O O B_check I_check I_check I_check O B_check I_check I_check I_check O O O O O O O O O O O O O O O O O O O O O O
明天我要去见一下我的老情人。能建议我明天临时吃个什么药吗？,B_datetime I_datetime O O O O O O O O O O O O O O O O B_datetime I_datetime O O O O O O O O O
32，12天了,B_age I_age O B_datetime I_datetime I_datetime O
我这个可以有效的治疗吗,O O O O O O O O O O O
那我这方面是怎么治疗的？,O O O O O O O O O O O O
精子存活率能治？,B_fluid I_fluid O O O O O O
腹痛月经有血块，痛经，这是宫寒的表现，在中医上叫气滞血瘀,B_symptom I_symptom B_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom O O O B_symptom I_symptom O O O O O O O O O B_symptom I_symptom I_symptom I_symptom
初中就开始手淫这么说这个情况时间也不短了，有到医院检查看诊过这方面吗,O O O O O B_cause I_cause O O O O O O O O O O O O O O O O O O O O O O O O O O O
那我这个大概手术费得多少钱,O O O O O O O O O O O O O
要怎么看,O O O O
石家庄男科医院？,O O O O O O O O
找过B超左侧轻微肠疝精索静脉曲张,O O B_check I_check O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
就是能硬进去一会就不硬了,O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O
‍总想‍尿尿‍怎么‍回事‍啊,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O
或者是怎么能缓解疼痛,O O O O O O O O B_symptom I_symptom
用检查HPV吗,O B_check I_check I_check I_check I_check O
精索静脉曲张，可以用药物治疗吗,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O
嗯，这样的话多考虑是感染的淋病,O O O O O O O O O O O O O B_symptom I_symptom
我知道大概价钱,O O O O O O O
不都是有牌子的吗，打个车就好了,O O O O O O O O O O O O O O O
你好，我大腿长一些红疙瘩是什么情况啊,O O O O B_part I_part O O O B_symptom I_symptom I_symptom O O O O O O
没吃啥药物恩，除了这些情况以外，尿道口或者包皮口有出现红肿的问题吗,O O O O O O O O O O O O O O O O B_part I_part I_part O O B_part I_part I_part O O O B_symptom I_symptom O O O O
四十五，每周两次，每次两分钟,B_age I_age I_age O B_frequency I_frequency I_frequency I_frequency O O O B_datetime I_datetime I_datetime
1分钟多点吧,B_datetime I_datetime I_datetime O O O
附近的公交车站名,O O O O O O O O
你们包皮手术用的什么技术？,O O B_surgery I_surgery I_surgery I_surgery O O O O O O O
14岁男生一周可以手淫一次吗,B_age I_age I_age O O B_datetime I_datetime O O B_cause I_cause B_frequency I_frequency O
担心别人,B_emotion I_emotion O O
多少价位的能直接上班,O O O O O O O O O O
这个需要通过检查来确定的哦,O O O O O O O O O O O O O
但是有时候时间也挺长的有二十来分钟,O O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime I_datetime
那人们呢常说肾气，那是指什么,O O O O O O B_part O O O O O O O
正常供血是多少呀,O O O O O O O O
我不知道他怎么了他就难受，,O O O O O O O O O O B_emotion I_emotion O
我一周一次,O B_frequency I_frequency I_frequency I_frequency
还是无缘无故就有流血现象？,O O O O O O O O B_symptom I_symptom O O O
咱们是医保定点医院,O O O O O O O O O
每天都换药；换了四天,B_datetime I_datetime O O O O O O B_datetime I_datetime
肚脐周围也痛,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
去了就检查这个那个，有必要吗？,O O O O O O O O O O O O O O O
阴经肿了是怎么回事。,B_symptom I_symptom I_symptom O O O O O O O
i9wwwww68我的微信你加一下,O O O O O O O O O O O O O O O O O
需要到医院做个全面检查吗？,O O O O O O O O O O O O O
就是蛋蛋的欺负，和胳肢窝里,O O B_part I_part O O O O O B_part I_part I_part O
现在还没结婚，能治疗么？,O O O O O O O O O O O O
嗯，小包长多久了，有增大增多的表现吗,O O B_symptom I_symptom I_symptom O O O O O O O O O O O O O
是的恩那接触性生活有多久了,O O O O O O O O O O O O O
我的龟头上面有不少小嘎子有点红,O O B_part I_part O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
有时候遗精比较频繁是什么状况,O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O
但是该说的我给你说清楚。你是咱们绵阳哪里的。或者你平时用qq还是微信我加上你。后期有不清楚的咨询也方便。谢了,O O O O O O O O O O O O O O O O B_address I_address O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
现在吃药呢,O O O O O
你出现这样的情况,O O O O O O O O
没流脓，就是红肿，有局部皮上亮的像水泡一样恩，那这个情况咱们是要及时针对性的治疗下了，这个不排除是某种病菌或者病毒感染导致的,O O O O O O B_symptom I_symptom O O O O B_part I_part O O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
可以用艾炙的方法加辅助治疗吗,O O O B_othertreatment I_othertreatment O O O O O O O O O
点击：2928394924，也可点击：18778332492哪个方便用哪个,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
嗯，有影响的，长时间勃起，睾丸也是处于充血状态，容易引起疾病,O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O B_part I_part O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O
这方面的检查费用在百十块钱左右，并不贵,O O O O O O O O O B_price I_price I_price I_price I_price I_price O O O O
你本家我，现在内心有点崩溃,O O O O O O O O O O O B_emotion I_emotion
我先吃点药试试,O O O O O O O
检查支原体衣原体没有,B_check I_check B_virus I_virus I_virus B_virus I_virus I_virus O O
有点痒，一碰有点疼,B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom
嗯那您这个时间可不短了，，期间也使用过，皮炎平这类电销软膏吗,O O O O O O O O O O O O O O O O O O O O B_medicine I_medicine I_medicine O O O O O O O
为什么睾丸会下垂,O O O B_symptom I_symptom I_symptom I_symptom I_symptom
我在地铁4号线，，怎么去同济那边,O O O O O O O O O O O O B_address I_address O O
你们是绵阳的吗还是哪里的呢、绵阳,O O O B_address I_address O O O O O O O O O B_address I_address
手淫相比性生活力度要大，长期是会造成阴茎海绵体损伤，造成血运不足，出现早泄的症状的咱们吃六味地黄丸多长时间了呢？,B_cause I_cause O O O O O O O O O O O O O O O O B_part I_part I_part I_part I_part O O O O O B_symptom I_symptom I_symptom I_symptom O O O B_symptom I_symptom O O O O O O O B_medicine I_medicine I_medicine I_medicine I_medicine O O O O O O O
从小一直就每天晚上做梦,O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
性功能障碍是我院看诊的重点项目，你这个问题在我院很常见的你们是怎么治疗的呢,B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
听说做派克CT能直接检查出转移没,O O O B_check I_check I_check I_check O O O O O O O O O
那近期找过小姐吗？或者陌生女性也算,O O O B_cause I_cause I_cause I_cause O O O O B_cause I_cause I_cause I_cause O O
恩，那您说下微信，我加您好的，,O O O O O O O O O O O O O O O
目前绵阳市卫生局和我院联合承办的“关爱男性健康活动”，男性检查申请减免后自费仅有61块钱您是我们绵阳的吗？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_price I_price I_price O O O O O B_address I_address O O O
你是早上没有晨勃还是性生活无法勃起，还是勃起不硬，？性生活无法勃起,O O O O O O B_physiology I_physiology O O O O O B_symptom I_symptom I_symptom I_symptom O O O B_symptom I_symptom I_symptom I_symptom O O O O O B_symptom I_symptom I_symptom I_symptom
这样吧，您的QQ或者微信是多少，我添加您，给您说一下具体的检查项目治疗方式和注意事项，对你一定有帮助598504474,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
去医院复查吗,O O O O O O
费用，一共下来多少钱,O O O O O O O O O O
这样吧，你平时使用QQ还是微信，我添加你，把一些针对你目前情况治疗方式和注意事项给你说下，对你肯定有帮助的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
没有果冻和颗粒状的情况，前两种有,O O O O O B_symptom I_symptom I_symptom O O O O O O O O
